"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Should appear under Test defects (broken)","2","brokenDefect()","","2026-07-10","broken","2026-07-10","","com.gradleproject.tests.AllureReporting","com.gradleproject.tests.AllureReporting","brokenDefect"
"Should appear under Test defects (broken)","2","brokenDefect1()","","2026-07-10","broken","2026-07-10","","com.gradleproject.tests.AllureReporting","com.gradleproject.tests.AllureReporting","brokenDefect1"
"The Test will skip and add to skipped category","0","skippedTest()","","2026-07-10","skipped","2026-07-10","","com.gradleproject.tests.AllureReporting","com.gradleproject.tests.AllureReporting","skippedTest"
"","82","countsOnlyPersistedTestOrders()","","2026-07-10","passed","2026-07-10","","com.gradleproject.data.OrderTestIT","com.gradleproject.data.OrderTestIT","countsOnlyPersistedTestOrders"
"Categories split flaky,test and product","2","categoriesPutGenericFlakyRules()","","2026-07-10","failed","2026-07-10","","com.gradleproject.tests.AllureReporting","com.gradleproject.tests.AllureReporting","categoriesPutGenericFlakyRules"
"","63","flywaySeedingReferenceDataButNoPerTestOrders()","","2026-07-10","passed","2026-07-10","","com.gradleproject.data.OrderTestIT","com.gradleproject.data.OrderTestIT","flywaySeedingReferenceDataButNoPerTestOrders"
"Should appear under Flaky tests","17","flakyTimeoutTest()","","2026-07-10","broken","2026-07-10","","com.gradleproject.tests.AllureReporting","com.gradleproject.tests.AllureReporting","flakyTimeoutTest"
"","113","resetMakesTestOrderIndependent()","","2026-07-10","passed","2026-07-10","","com.gradleproject.data.OrderTestIT","com.gradleproject.data.OrderTestIT","resetMakesTestOrderIndependent"
"Should appear under Product defects","9","productDefect()","","2026-07-10","failed","2026-07-10","","com.gradleproject.tests.AllureReporting","com.gradleproject.tests.AllureReporting","productDefect"
"","134","persistedBuilderDataAgainstIsolatedMysql()","","2026-07-10","passed","2026-07-10","","com.gradleproject.data.OrderTestIT","com.gradleproject.data.OrderTestIT","persistedBuilderDataAgainstIsolatedMysql"
